Rank,year,title,letterboxd_url
1,1941,Citizen Kane,https://letterboxd.com/film/citizen-kane/
2,1972,The Godfather,https://letterboxd.com/film/the-godfather/
3,1957,12 Angry Men,https://letterboxd.com/film/12-angry-men/
4,1942,Casablanca,https://letterboxd.com/film/casablanca/
5,1928,The Passion of Joan of Arc,https://letterboxd.com/film/the-passion-of-joan-of-arc/
6,1931,City Lights,https://letterboxd.com/film/city-lights/
7,1958,Vertigo,https://letterboxd.com/film/vertigo/
8,1927,Sunrise: A Song of Two Humans,https://letterboxd.com/film/sunrise-a-song-of-two-humans/
9,1974,The Godfather Part II,https://letterboxd.com/film/the-godfather-part-ii/
10,1954,Seven Samurai,https://letterboxd.com/film/seven-samurai/
11,1946,It's a Wonderful Life,https://letterboxd.com/film/its-a-wonderful-life/
12,1927,Metropolis,https://letterboxd.com/film/metropolis/
13,1954,Rear Window,https://letterboxd.com/film/rear-window/
14,1929,Man with a Movie Camera,https://letterboxd.com/film/man-with-a-movie-camera/
15,1950,Sunset Boulevard,https://letterboxd.com/film/sunset-boulevard/
16,1960,Psycho,https://letterboxd.com/film/psycho/
17,1953,Tokyo Story,https://letterboxd.com/film/tokyo-story/
18,1952,Singin' in the Rain,https://letterboxd.com/film/singin-in-the-rain/
19,1960,The Apartment,https://letterboxd.com/film/the-apartment/
20,1925,Battleship Potemkin,https://letterboxd.com/film/battleship-potemkin/
21,1962,Lawrence of Arabia,https://letterboxd.com/film/lawrence-of-arabia/
22,1949,The Third Man,https://letterboxd.com/film/the-third-man/
23,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
24,1939,The Wizard of Oz,https://letterboxd.com/film/the-wizard-of-oz-1939/
25,1939,The Rules of the Game,https://letterboxd.com/film/the-rules-of-the-game/
26,1966,"The Good, the Bad and the Ugly",https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
27,1950,All About Eve,https://letterboxd.com/film/all-about-eve/
28,1931,M,https://letterboxd.com/film/m/
29,1936,Modern Times,https://letterboxd.com/film/modern-times/
30,1944,Double Indemnity,https://letterboxd.com/film/double-indemnity/
31,1979,Apocalypse Now,https://letterboxd.com/film/apocalypse-now/
32,1950,Rashomon,https://letterboxd.com/film/rashomon/
33,1939,Gone with the Wind,https://letterboxd.com/film/gone-with-the-wind/
